match_id,date,season,match_week,home_team,away_team,home_roll_xg_for,home_roll_xg_against,home_roll_xg_diff,away_roll_xg_for,away_roll_xg_against,away_roll_xg_diff,net_xg_diff,home_roll_goals_for,home_roll_goals_against,home_roll_goal_diff,away_roll_goals_for,away_roll_goals_against,away_roll_goal_diff,net_goal_diff,home_roll_won,away_roll_won,net_win_rate,home_roll_points,away_roll_points,net_points,home_squad_value,away_squad_value,squad_value_ratio,log_squad_value_ratio,squad_value_diff,home_avg_player_value,away_avg_player_value,home_squad_age,away_squad_age,home_win_prob,draw_prob,away_win_prob,result,home_roll_poss,away_roll_poss,net_poss,home_attackers,away_attackers,net_attackers,home_roll_gf_fbref,home_roll_ga_fbref,away_roll_gf_fbref,away_roll_ga_fbref,home_player_ga90,away_player_ga90,net_player_ga90,home_starter_ga90,away_starter_ga90,net_starter_ga90,home_squad_depth,away_squad_depth,net_squad_depth,home_minutes_conc,away_minutes_conc,result_code,home_pl_sh_p90,home_pl_sot_p90,home_pl_def_p90,home_pl_gls_p90,home_pl_ast_p90,home_pl_starter_mins,home_pl_pct_fw,home_pl_depth_sh,home_pl_n_players,away_pl_sh_p90,away_pl_sot_p90,away_pl_def_p90,away_pl_gls_p90,away_pl_ast_p90,away_pl_starter_mins,away_pl_pct_fw,away_pl_depth_sh,away_pl_n_players,net_pl_sh_p90,net_pl_sot_p90,net_pl_def_p90,net_pl_gls_p90,net_pl_ast_p90,net_pl_starter_mins,net_pl_pct_fw,net_pl_depth_sh
10653,2018-08-17,2018,2,Reims,Lyon,0.26742,1.03263,-0.76521,1.30809,0.286084,1.022006,-1.787216,1.0,0.0,1.0,2.0,0.0,2.0,-1.0,1.0,1.0,0.0,3.0,3.0,0.0,55000000,320000000,0.171875,-1.7609878105613013,-265000000,2391304.0,12800000.0,25.5,25.6,0.2462,0.3489,0.4049,H,29.0,68.0,-39.0,1.0,3.0,-2.0,1.0,0.0,2.0,0.0,,,,,,,,,,,,0,,,,,,,0.08333333333333333,,14.0,1.321911651099094,0.6460425591684811,1.7375939321581573,0.18645972329517524,0.09164969450101833,75.92307692307692,0.3076923076923077,2.285878489326765,14.0,,,,,,,-0.2243589743589744,
10654,2018-08-18,2018,3,Guingamp,Paris Saint Germain,1.37217,0.934842,0.4373279999999999,3.34692,0.189346,3.157574,-2.720246,1.0,2.0,-1.0,3.0,0.0,3.0,-4.0,0.0,1.0,-1.0,0.0,3.0,-3.0,35000000,780000000,0.0448717948717948,-3.1039458581942236,-745000000,1590909.0,30000000.0,26.5,25.8,0.1246,0.1829,0.6925,A,58.0,,,1.0,,,1.0,2.0,,,,,,,,,,,,,,2,,,,,,,0.16666666666666666,,14.0,,,,,,,,,,,,,,,,,
10655,2018-08-18,2018,3,Monaco,Lille,2.8413,1.22055,1.62075,1.88164,0.447458,1.4341819999999998,0.186568,3.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,380000000,180000000,2.111111111111111,0.7472144018302211,200000000,15200000.0,7500000.0,24.2,25.1,0.6904,0.2162,0.0934,D,33.0,58.0,-25.0,1.0,1.0,0.0,3.0,1.0,3.0,1.0,,,,,,,,,,,,1,,,,,,,0.16666666666666666,,14.0,,,,,,,0.09090909090909091,,14.0,,,,,,,0.07575757575757575,
10656,2018-08-18,2018,3,Rennes,Angers,0.447458,1.88164,-1.4341819999999998,2.62438,1.21376,1.41062,-2.8448019999999996,1.0,3.0,-2.0,3.0,4.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,140000000,50000000,2.8,1.029619417181158,90000000,5833333.0,2272727.0,24.6,26.5,0.2485,0.5415,0.21,H,42.0,56.0,-14.0,1.0,3.0,-2.0,1.0,3.0,3.0,4.0,,,,,,,,,,,,0,,,,,,,0.09090909090909091,,14.0,,,,,,,0.3333333333333333,,14.0,,,,,,,-0.2424242424242424,
10657,2018-08-18,2018,3,Amiens,Montpellier,0.286084,1.30809,-1.022006,1.34076,1.94817,-0.60741,-0.4145959999999999,0.0,2.0,-2.0,1.0,2.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,42000000,85000000,0.4941176470588235,-0.7049816382069481,-43000000,1909091.0,3695652.0,26.0,26.0,0.6584,0.275,0.0666,A,32.0,54.0,-22.0,1.0,2.0,-1.0,0.0,2.0,1.0,2.0,,,,,,,,,,,,2,,,,,,,0.08333333333333333,,14.0,,,,,,,0.18181818181818182,,14.0,,,,,,,-0.0984848484848485,
10658,2018-08-18,2018,3,Caen,Nice,0.189346,3.34692,-3.157574,1.03263,0.26742,0.76521,-3.922784,0.0,3.0,-3.0,0.0,1.0,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,40000000,130000000,0.3076923076923077,-1.1786549963416462,-90000000,1818182.0,5416667.0,26.3,25.8,0.5785,0.2941,0.1274,D,34.0,71.0,-37.0,3.0,3.0,0.0,0.0,3.0,0.0,1.0,,,,,,,,,,,,1,,,,,,,0.25,,14.0,,,,,,,0.3333333333333333,,14.0,,,,,,,-0.08333333333333331,
10659,2018-08-18,2018,3,Dijon,Nantes,1.94817,1.34076,0.60741,1.22055,2.8413,-1.62075,2.22816,2.0,1.0,1.0,1.0,3.0,-2.0,3.0,1.0,0.0,1.0,3.0,0.0,3.0,50000000,85000000,0.5882352941176471,-0.5306282510621704,-35000000,2272727.0,3695652.0,26.5,26.0,0.9654,0.0308,0.0038,H,46.0,67.0,-21.0,1.0,1.0,0.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,0,,,,,,,0.09090909090909091,,14.0,,,,,,,0.23076923076923078,,14.0,,,,,,,-0.13986013986013987,
10660,2018-08-19,2018,3,Strasbourg,Saint-Etienne,1.32715,0.0853905,1.2417595,0.934842,1.37217,-0.4373279999999999,1.6790875,2.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0,85000000,85000000,1.0,0.0,0,3695652.0,3695652.0,26.0,26.0,0.3779,0.4651,0.157,D,66.0,,,1.0,,,2.0,0.0,,,,,,,,,,,,,,1,,,,,,,0.15384615384615385,,14.0,,,,,,,,,,,,,,,,,
10661,2018-08-19,2018,3,Toulouse,Bordeaux,0.234157,3.46292,-3.228763,0.0853905,1.32715,-1.2417595,-1.9870034999999997,0.0,4.0,-4.0,0.0,2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,85000000,85000000,1.0,0.0,0,3695652.0,3695652.0,26.0,26.0,0.5025,0.2987,0.1988,H,39.0,34.0,5.0,1.0,1.0,0.0,0.0,4.0,0.0,2.0,,,,,,,,,,,,0,,,,,,,0.08333333333333333,,14.0,,,,,,,0.15384615384615385,,14.0,,,,,,,-0.07051282051282053,
10662,2018-08-19,2018,3,Nimes,Marseille,1.21376,2.62438,-1.41062,3.46292,0.234157,3.228763,-4.639383,4.0,3.0,1.0,4.0,0.0,4.0,-3.0,1.0,1.0,0.0,3.0,3.0,0.0,50000000,210000000,0.238095238095238,-1.4350845252893227,-160000000,2272727.0,8750000.0,26.5,26.3,0.5442,0.2724,0.1834,H,,61.0,,,1.0,,,,4.0,0.0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.07692307692307693,,14.0,,,,,,,,
10663,2018-08-24,2018,4,Lyon,Strasbourg,1.1430315,0.4817145,0.6613169999999999,0.9765975,0.2074707499999999,0.7691267500000001,-0.1078097500000001,1.0,0.5,0.5,1.5,0.5,1.0,-0.5,0.5,0.5,0.0,1.5,2.0,-0.5,320000000,85000000,3.764705882352941,1.3256697393034558,235000000,12800000.0,3695652.0,25.6,26.0,0.5926,0.294,0.1134,H,67.0,62.0,5.0,3.0,1.0,2.0,1.0,0.5,1.5,0.5,,,,,,,,,,,,0,,,,,,,0.2727272727272727,,14.0,,,,,,,0.16666666666666666,,14.0,,,,,,,0.10606060606060605,
10664,2018-08-25,2018,4,Paris Saint Germain,Angers,2.985455,0.770873,2.214582,1.487062,0.802151,0.6849109999999999,1.529671,3.0,0.5,2.5,1.5,2.5,-1.0,3.5,1.0,0.0,1.0,3.0,0.0,3.0,780000000,50000000,15.6,2.747270914255491,730000000,30000000.0,2272727.0,25.8,26.5,0.5045,0.2564,0.2391,H,,49.0,,,1.0,,,,1.5,2.5,,,,,,,,,,,,0,,,,,,,,,,1.0417415572695075,0.2747461303361925,1.9799353261337846,0.1349945775411614,0.046583850931677016,77.83333333333333,0.16666666666666666,1.0825193325193325,14.0,,,,,,,,
10665,2018-08-25,2018,4,Nice,Dijon,0.8007905,0.73397,0.0668204999999999,2.45396,0.7846955,1.6692645,-1.602444,0.5,1.0,-0.5,2.0,0.5,1.5,-2.0,0.0,1.0,-1.0,0.5,3.0,-2.5,130000000,50000000,2.6,0.9555114450274363,80000000,5416667.0,2272727.0,25.8,26.5,0.3039,0.2607,0.4354,A,67.0,39.0,28.0,3.0,1.0,2.0,0.5,1.0,2.0,0.5,,,,,,,,,,,,2,,,,,,,0.25,,14.0,,,,,,,0.08333333333333333,,14.0,,,,,,,0.16666666666666669,
